Filename,Date taken,Coordinates taken,Camera used,Description
View_Bruetten_north.jpg,2024-11-24T11:09:07.508Z,47.472861/8.668237,Pixel 3a main Camera,The view from the north-western edge of Brütten towards the north.
Strubikon-from-Bruetten.jpg,2024-11-24T11:12:48.295Z,47.472861/8.668237,Pixel 3a main Camera,"The Eichhölzli, Strubikon and other hamlets from the north-western edge of Brütten."
View_Eich_west.jpg,2024-11-24T11:37:47.723Z,47.484215/8.654882,Pixel 3a main Camera,The view from north-west of the Eich hamlet towards the west and the Lägern.
Fireplace_Eich.jpg,2024-11-24T11:54:35.399Z,47.486073/8.662690,Pixel 3a main Camera,The Fireplace north-east of the Eich hamlet.
Strubikon_north.jpg,2024-11-24T12:03:28.065Z,47.481567/8.664667,Pixel 3a main Camera,The Strubikon hamlet and a small part of Brütten from the north.
Pond_Neubruch.jpg,2024-11-24T12:11:48.343Z,47.480526/8.669838,Pixel 3a main Camera,The Neubruch pond from the south-east.
Fireplace_Vogt-Brunnen.jpg,2024-11-24T12:39:45.841Z,47.482798/8.678081,Pixel 3a main Camera,The fireplace Vogt-Brunnen.
Bruetten_north-east.jpg,2024-11-24T12:55:01.299Z,47.479431/8.681798,Pixel 3a main Camera,The north-eastern part of Brütten from the north.
View_Viewpoint_south.jpg,2024-11-24T13:33:54.875Z,47.474662/8.672872,Pixel 3a main Camera,The view from the viewpoint just north of Brütten towards the south.
Bruetten_church.jpg,2024-11-24T13:38:44.181Z,47.473476/8.674715,Pixel 3a main Camera,The church of Brütten as viewed from the south.
Bruetten_south-west.jpg,2024-11-24T13:51:45.671Z,47.469116/8.677614,Pixel 3a main Camera,The south-western part of Brütten from the south-east.
Bruetten_south-east.jpg,2024-11-24T13:52:04.053Z,47.469134/8.677850,Pixel 3a main Camera,The south-eastern part of Brütten from the south.
View_Bruetten_south.jpg,2024-11-24T13:59:16.741Z,47.471511/8.681699,Pixel 3a main Camera,The view from the south-eastern edge of Brütten toward the south.
