Filename,Date taken,Coordinates taken,Camera used,Description
Bubikon-from-Chaesberg.jpg,2025-02-08T13:04:26.678Z,47.275243/8.813041,Pixel 3a main Camera,The north-eastern part of Bubikon from the Chäsberg in the north-west.
View-Chaesberg-SE.jpg,2025-02-08T13:10:19.444Z,47.275243/8.813041,Pixel 3a main Camera,The view from the Chäsberg to the mountains in south-eastern direction.
View-Chaesberg-SSE.jpg,2025-02-08T13:10:24.389Z,47.275243/8.813041,Pixel 3a main Camera,The view from the Chäsberg to the mountains in south-south-eastern direction.
View-Chaesberg-S.jpg,2025-02-08T13:10:29.012Z,47.275243/8.813041,Pixel 3a main Camera,The view from the Chäsberg to the mountains in southern direction.
Lanzacher-from-Gerbel.jpg,2025-02-08T13:28:03.857Z,47.279175/8.801098,Pixel 3a main Camera,The hamlet Lanzacher and Bubikon behind it from the Gerbel.
Bubikon-from-below-Hombergchropf.jpg,2025-02-08T13:52:26.018Z,47.268398/8.803265,Pixel 3a main Camera,The south-western part of Bubikon from the west at the edge of the forest on the Reservoirweg below the Hombergchropf.
Bubikon-from-Hombergchropf.jpg,2025-02-08T13:56:07.494Z,47.268835/8.803605,Pixel 3a main Camera,The south-western part of Bubikon from the west at the edge of the forest on top of the Hombergchropf.
View-Hombergchropf-SSE.jpg,2025-02-08T13:56:25.549Z,47.268835/8.803605,Pixel 3a main Camera,The view from the Hombergchropf to the mountains in south-south-eastern direction.
Wolfhausen-from-Lochholzweg_1.jpg,2025-02-08T14:21:59.978Z,47.260449/8.800945,Pixel 3a main Camera,The eastern part of Wolfhausen from the north-west at the edge of the forest on Lochholzweg.
Wolfhausen-from-Lochholzweg_2.jpg,2025-02-08T14:24:19.218Z,47.260338/8.802495,Pixel 3a main Camera,The central part of Wolfhausen from the north-east at the edge of the forest on Lochholzweg.
Bubikon-from-Lochholzweg.jpg,2025-02-08T14:27:22.307Z,47.261507/8.805507,Pixel 3a main Camera,The south-western part of Bubikon from the south-west at the edge of the forest on Lochholzweg.
Wolfhausen-from-the-south.jpg,2025-06-29T10:51:45.909Z,47.247136/8.798920,Pixel 3a main Camera,The central part of Wolfhausen from the south.
Wolfhausen-from-Schwoesterrain.jpg,2025-06-29T11:00:23.973Z,47.247764/8.805813,Pixel 3a main Camera,The central and western parts of Wolfhausen from the south-east near Schwösterrain.
