Filename,Date taken,Coordinates taken,Camera used,Description,
Buch_am_Irchel-from-the-north.jpg,2025-07-06T09:54:18.063Z,47.560243/8.621754,Pixel 3a main Camera,Buch am Irchel from the north.,
Wiler-from-the-north_east.jpg,2025-07-06T09:58:57.758Z,47.560449/8.621634,Pixel 3a main Camera,Wiler from the north-east.,
Buch_am_Irchel-from-the-north_east.jpg,2025-07-06T10:17:19.580Z,47.556236/8.631729,Pixel 3a main Camera,Buch am Irchel from the north-east.,
Desibach-from-the-south.jpg,2025-07-06T10:45:15.765Z,47.548866/8.644988,Pixel 3a main Camera,Desibach from the south.,
Bebikon-from-the-north_west.jpg,2025-07-06T10:59:11.497Z,47.545164/8.641809,Pixel 3a main Camera,Bebikon from the north-west.,
View-from-near-Bebikon-1.jpg,2025-07-06T11:00:21.182Z,47.545164/8.641809,Pixel 3a main Camera,View from above Bebikon to the south-east.,
View-from-near-Bebikon-2.jpg,2025-07-06Z11:00:28.349Z,47.545164/8.641809,Pixel 3a main Camera,View from above Bebikon to the south.,
View-from-near-Bebikon-3.jpg,2025-07-06T11:00:34.911Z,47.545164/8.641809,Pixel 3a main Camera,View from above Bebikon to the south-west.,Sadly this photo is out of focus.
View-from-near-Buch_am_Irchel-1.jpg,2025-07-06T13:22:49.123Z,47.541753/8.615604,Pixel 3a main Camera,View from near Buch am Irchel to the north.,
Church-Buch_am_Irchel-from-the-south_west.jpg,2025-07-13T11:21:32.047Z,47.548656/8.622146,Pixel 3a main Camera,The church of Buch am Irchel from a few meters south-west.,
Water-fountain-below-Irchelturm.jpg,2025-07-13T11:50:19.979Z,47.541881/8.623364,Pixel 3a main Camera,The water fountain north-east below the Irchelturm from the north-east.,
Buch_am_Irchel-from-the-Irchelturm.jpg,2025-07-13T12:02:13.443Z,47.540574/8.620483,Pixel 3a main Camera,Buch am Irchel from the south on top of the Irchelturm.,
View-from-Irchelturm-1.jpg,2025-07-13T12:02:20.059Z,47.540574/8.620483,Pixel 3a main Camera,View from the Irchelturm towards the north-west with Berg am Irchel.,
View-from-Irchelturm-2.jpg,2025-07-13T12:02:25.784Z,47.540574/8.620483,Pixel 3a main Camera,View from the Irchelturm towards the north with Buch am Irchel and Volken.,
View-from-Irchelturm-3.jpg,2025-07-13T12:02:34.206Z,47.540574/8.620483,Pixel 3a main Camera,View from the Irchelturm towards the north-east with the Wolschberg.,
View-from-Irchelturm-4.jpg,2025-07-13T12:02:40.851Z,47.540574/8.620483,Pixel 3a main Camera,"View from the Irchelturm towards the east with Seuzach, Neftenbach and Winterthur.",
View-from-Irchelturm-5.jpg,2025-07-13T12:02:49.316Z,47.540574/8.620483,Pixel 3a main Camera,View from the Irchelturm towards the east-south-east with Neftenbach and Winterthur.,
View-from-Irchelturm-6.jpg,2025-07-13T12:02:54.003Z,47.540574/8.620483,Pixel 3a main Camera,View from the Irchelturm towards the south-south-east.,
Church-and-Oberbuch-from-the-north_east.jpg,2025-07-13T12:44:41.456Z,47.550115/8.625751,Pixel 3a main Camera,The area around the church of Buch am Irchel from the north-east.,
Oberbuch-from-the-north_east.jpg,2025-07-13T12:49:31.298Z,47.552058/8.626880,Pixel 3a main Camera,Oberbuch and the Irchelturm from the north-east.,
