Filename,Date taken,Coordinates taken,Camera used,Description,
Pfaffenbuehlweg_Fireplace.jpg,2025-08-17T10:53:15.344Z,47.463645/8.428244,Pixel 3a main Camera,The fireplace and table in the forest next to Pfaffenbühlweg.,
Pfaffenbuehlweg_Fountain.jpg,2025-08-17T10:53:23.488Z,47.463645/8.428244,Pixel 3a main Camera,The benches and water fountain in the forest next to Pfaffenbühlweg.,Some personally identifiable information has ben replaced by black pixels.
Wolfacherweg_View_east.jpg,2025-08-17T12:13:50.249Z,47.468075/8.442494,Pixel 3a main Camera,The view to the east towards the airport from the edge of the forest on Wolfacherweg.,
Herrenweg_Fireplace.jpg,2025-08-17T12:46:17.158Z,47.463534/8.451206,Pixel 3a main Camera,The fireplace and table next to the Herrenweg.,
Buchs_from_Herrenweg_1.jpg,2025-08-17T13:02:26.030Z,47.461687/8.450978,Pixel 3a main Camera,Buchs and the Furttal from the east at the edge of the forest on Herrenweg.,
Buchs_from_Herrenweg_2.jpg,2025-08-17T13:07:12.488Z,47.460954/8.451523,Pixel 3a main Camera,Buchs and the Furttal from the east at the edge of the forest on Herrenweg.,
Coop_Sculpture.jpg,2025-08-17T14:24:49.649Z,47.457960/8.437951,Pixel 3a main Camera,The sculpture in front of the Coop Shop in Buchs.,
Buchs_from_below_Trueebenbachstrasse_1.jpg,2025-08-24T11:20:51.939Z,47.457866/8.429445,Pixel 3a main Camera,Buchs from the west from below the small forest below Boppelserstrasse and Trüebenbachstrasse.,Some personally identifiable information has ben replaced by black pixels.
Buchs_from_below_Trueebenbachstrasse_2.jpg,2025-08-24T11:20:58.797Z,47.457866/8.429445,Pixel 3a main Camera,Buchs from the west from below the small forest below Boppelserstrasse and Trüebenbachstrasse.,Some personally identifiable information has ben replaced by black pixels.
Upper_trainstation_from_the_east.jpg,2025-08-24T11:41:19.250Z,47.460317/8.440807,Pixel 3a main Camera,The abandoned upper train station of Buchs from the east-north-east.,Some personally identifiable information has ben replaced by black pixels.
Upper_trainstation_from_the_west.jpg,2025-08-24T11:43:37.973Z,47.460317/8.440807,Pixel 3a main Camera,The abandoned upper train station of Buchs from the west together with the benches and the playground.,Some personally identifiable information has ben replaced by black pixels.
Untere_Sandlochstrasse_Fireplace.jpg,2025-08-24T12:11:16.379Z,47.460317/8.440807,Pixel 3a main Camera,The fireplaces and tables in the forest next to Untere Sandlochstrasse.,
