Filename,Date taken,Coordinates taken,Camera used,Description,
Viewing_platform-view-south.jpg,2025-10-19T14:30:40.389Z,47.540085/8.554820,Pixel 3a main Camera,The view from the viewing platform Petersboden towards Bülach and the south.,
Nussbaumen.jpg,2025-10-19T14:44:19.422Z,47.533947/8.559401,Pixel 3a main Camera,Nussbaumen from the north below the Römerweg.,
Nussbaumen-interesting-building.jpg,2025-10-19T14:52:09.431Z,47.529794/8.556829,Pixel 3a main Camera,An interesting building in Nussbaumen photographed from the south.,Some personally identifiable information has ben replaced by black pixels.
Buelach-from-above-Berghof.jpg,2025-10-19T15:00:04.022Z,47.525599/8.557513,Pixel 3a main Camera,Bülach from the east above Berghof.,
Buelach-from-near-Eschenmosen-1.jpg,2025-10-19T15:11:18.377Z,47.520114/8.563634,Pixel 3a main Camera,Bülach from the east on the Berghofstrasse north of Eschenmosen.,
Eschenmosen.jpg,2025-10-19T15:11:42.902Z,47.520114/8.563634,Pixel 3a main Camera,Eschenmosen from the north on the Berghofstrasse.,
Buelach-from-near-Eschenmosen-2.jpg,2025-10-19T15:15:14.681Z,47.518369/8.566418,Pixel 3a main Camera,Bülach from the east on the Chrüzhofstrasse directly north of Eschenmosen.,
Buelach-from-near-Bueliberg.jpg,2025-10-19T15:24:07.557Z,47.513732/8.569894,Pixel 3a main Camera,Bülach from the south-east on the edge of the forest next to Büliberg.,
Woodcarving-Hardwald-1.jpg,2025-11-23T10:33:26.150Z,47.538022/8.527912,Pixel 3a main Camera,Woodcarving in the Hardwald.,
Woodcarving-Hardwald-2.jpg,2025-11-23T10:37:22.771Z,47.537937/8.528827,Pixel 3a main Camera,Woodcarving in the Hardwald.,
Rhinsberg-view-north_west.jpg,2026-02-15T10:39:30.288Z,47.560225/8.534446,Pixel 3a main Camera,The view from the viewpoint on Rhinsberg towards Eglisau and the north-west.,
Waldhuette_Hoehragen.jpg,2026-02-15T12:06:49.985Z,47.505797/8.524020,Pixel 3a main Camera,The Waldhütte Höhragen photographed from the north.,
southernmost_point-view-north_west.jpg,2026-02-15T12:20:00.802Z,47.499035/8.522392,Pixel 3a main Camera,The view from the southernmost point towards Neerach and the north-west.,
southernmost_point-view-south_west.jpg,2026-02-15T12:20:13.505Z,47.499035/8.522392,Pixel 3a main Camera,The view from the southernmost point towards Niederglatt and the north-west.,
